MonthYear,Price
Jan20,808000
Feb20,788000
Mar20,828000
Apr20,940000
Mei20,920000
Jun20,907000
Jul20,938000
Agu20,1065000
Sep20,1024000
Okt20,1008000
Nov20,985000
Des20,952000
Jan21,965000
Feb21,945000
Mar21,924000
Apr21,925000
Mei21,948000
Jun21,965000
Jul21,956000
Agu21,921000
Sep21,932000
Okt21,928000
Nov21,955000
Des21,930000
Jan22,941000
Feb22,994000
Mar22,1000000
Apr22,1010000
Mei22,992000
Jun22,999000
Jul22,957000
Agu22,996000
Sep22,933000
Okt22,962000
Nov22,948000